freq,age,sex,indic_il,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,F,MED_E,EUR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1747 	1972 	2195 	2482 	2574 	: 	: 	: 
A,TOTAL,F,MED_E,EUR,AT	13394 	14277 	13841 	13677 	13888 	14535 	14667 	15275 b	16603 	17402 	17480 	17787 	18838 b	20030 	20566 	20949 	21183 	21629 	22712 	22741 	23202 	24433 	24675 	25241 	26348 	27048 	27646 	30988 	: 
A,TOTAL,F,MED_E,EUR,BE	13085 	13735 	13707 	13669 	13885 	14378 	15081 	14994 b	15353 	16081 	16692 	17150 	17592 	18851 	18963 	19380 	19688 	20878 	21189 	21012 	21550 	21976 	23135 	24013 b	25135 	25356 	26826 	28454 	29884 
A,TOTAL,F,MED_E,EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1361 	1439 	2131 	2762 	2925 	2814 	2776 	2860 	3260 	3236 	3043 b	3480 	3474 	4059 	4424 	5012 	5117 	6271 	7435 
A,TOTAL,F,MED_E,EUR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27109 	26114 	28003 	29780 	32911 	38156 	39783 	37278 b	38361 	43091 	42640 	42253 	40146 	41911 	43917 	44520 	48394 	: 
A,TOTAL,F,MED_E,EUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	13027 	14219 	15796 	15677 b	16005 	15839 	16580 	16502 	15437 	14186 	13618 	13854 	14180 	15199 	16144 	16403 	16291 	17344 	18516 	: 
A,TOTAL,F,MED_E,EUR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	4150 	4694 	5305 	5892 	7114 	6900 	7274 	7581 	7493 	7419 	7203 	7624 	8106 	8802 	9668 	10299 	10348 	11788 	13198 	14575 
A,TOTAL,F,MED_E,EUR,DE	13104 	14162 	14401 	14133 	14424 	15086 	15441 	: 	: 	16117 b	15403 	17367 	17909 	18219 	18448 	18700 	19137 	19067 	19319 	20238 	20744 	21316 	22081 	22979 	25548 b	24458 	24477 	25745 	26980 
A,TOTAL,F,MED_E,EUR,DK	: 	: 	: 	: 	: 	: 	: 	20390 	20725 	21528 	22081 	22861 	23561 	24548 	25075 	26459 b	26678 	26984 	27399 	27756 	27941 	29250 	29611 	30366 	30182 b	31425 	32760 	33182 	33976 
